iter	Passed	Remaining
571	17286	12934
572	17321	12908
573	17343	12871
574	17365	12835
575	17394	12804
576	17424	12773
577	17449	12739
578	17477	12707
579	17504	12675
580	17530	12642
581	17551	12605
582	17577	12572
583	17605	12540
584	17633	12509
585	17662	12478
586	17692	12448
587	17713	12411
588	17738	12377
589	17763	12343
590	17788	12310
591	17815	12277
592	17841	12245
593	17870	12214
594	17897	12182
595	17919	12147
596	17940	12110
597	17961	12074
598	17984	12040
599	18022	12014
600	18044	11979
601	18070	11947
602	18101	11917
603	18122	11881
604	18143	11845
605	18167	11811
606	18188	11775
607	18209	11740
608	18233	11706
609	18264	11677
610	18286	11642
611	18314	11611
612	18350	11585
613	18383	11556
614	18414	11527
615	18437	11493
616	18461	11459
617	18486	11427
618	18512	11394
619	18537	11361
620	18566	11331
621	18586	11295
622	18607	11260
623	18630	11225
624	18655	11193
625	18702	11173
626	18734	11144
627	18764	11115
628	18785	11079
629	18806	11044
630	18829	11011
631	18849	10975
632	18871	10941
633	18899	10910
634	18927	10879
635	18954	10848
636	18983	10817
637	19011	10786
638	19050	10762
639	19069	10726
640	19097	10695
641	19120	10662
642	19145	10629
643	19170	10597
644	19197	10566
645	19220	10532
646	19247	10501
647	19267	10466
648	19289	10432
649	19315	10400
650	19343	10369
651	19369	10338
652	19396	10307
653	19443	10286
654	19468	10254
655	19499	10225
656	19523	10192
657	19551	10161
658	19577	10130
659	19604	10099
660	19631	10068
661	19660	10038
662	19683	10005
663	19710	9973
664	19737	9942
665	19766	9912
666	19791	9881
667	19816	9849
668	19845	9819
669	19871	9787
670	19892	9753
671	19913	9719
672	19933	9685
673	19961	9655
674	19990	9625
675	20017	9594
676	20059	9570
677	20083	9537
678	20106	9505
679	20126	9471
680	20146	9437
681	20171	9405
682	20200	9375
683	20223	9343
684	20250	9312
685	20279	9282
686	20302	9249
687	20323	9216
688	20344	9183
689	20364	9149
690	20389	9117
691	20417	9087
692	20443	9056
693	20467	9024
694	20495	8994
695	20526	8965
696	20564	8939
697	20602	8913
698	20629	8883
699	20654	8852
700	20677	8819
701	20707	8790
702	20732	8759
703	20754	8726
704	20777	8694
705	20800	8662
706	20830	8632
707	20856	8601
708	20882	8571
709	20913	8542
710	20936	8509
711	20956	8476
712	20980	8445
713	21000	8411
714	21022	8379
715	21044	8347
716	21088	8323
717	21114	8293
718	21142	8263
719	21166	8231
720	21188	8199
721	21213	8168
722	21237	8136
723	21262	8105
724	21289	8075
725	21314	8044
726	21340	8013
727	21366	7983
728	21390	7951
729	21413	7920
730	21435	7888
731	21456	7855
732	21482	7825
733	21511	7795
734	21538	7765
735	21572	7738
736	21606	7710
737	21638	7681
738	21668	7652
739	21707	7626
740	21741	7599
741	21773	7570
742	21799	7540
743	21827	7510
744	21848	7478
745	21870	7446
746	21891	7414
747	21913	7382
748	21941	7352
749	21965	7321
